id_candidate, no_trial, num_subtrial, ans_candidate, good_ans, correct, reaction_time, time_stamp
fe, 22, 3, a, p, False, 0.48, 175.25
fe, 22, 4, a, a, True, 0.45, 176.34
fe, 22, 2, a, p, False, 0.41, 177.39
fe, 22, 1, a, p, False, 0.61, 178.62
fe, 22, 0, a, p, False, 0.4, 179.65
fe, 23, 1, a, p, False, 0.24, 180.52
fe, 23, 0, a, p, False, 0.2, 181.35
fe, 23, 4, a, a, True, 0.59, 182.57
fe, 23, 2, a, p, False, 0.68, 183.88
fe, 23, 3, p, p, True, 5.18, 189.69
fe, 24, 0, a, p, False, 4.03, 194.35
fe, 24, 1, a, p, False, 1.23, 196.21
fe, 24, 3, a, p, False, 2.07, 198.92
fe, 24, 2, a, p, False, 0.75, 200.3
fe, 24, 4, a, a, True, 0.73, 201.67
fe, 25, 2, a, p, False, 0.59, 202.89
fe, 25, 3, a, p, False, 0.23, 203.75
fe, 25, 1, a, p, False, 2.35, 206.73
fe, 25, 4, a, a, True, 1.29, 208.64
fe, 25, 0, a, p, False, 2.63, 211.91
fe, 26, 3, p, p, True, 0.9, 213.44
fe, 26, 4, a, a, True, 0.51, 214.6
fe, 26, 1, a, p, False, 1.26, 216.48
fe, 26, 0, a, p, False, 1.92, 219.03
fe, 26, 2, a, p, False, 0.8, 220.46
fe, 27, 3, p, p, True, 1.37, 222.46
fe, 27, 2, p, p, True, 1.47, 224.56
fe, 27, 1, p, p, True, 3.51, 228.7
fe, 27, 0, p, p, True, 0.76, 230.1
fe, 27, 4, a, a, True, 0.77, 231.49
fe, 28, 0, a, p, False, 0.98, 233.1
fe, 28, 4, a, a, True, 0.55, 234.29
fe, 28, 2, p, p, True, 3.8, 238.72
fe, 28, 3, p, p, True, 0.66, 240.01
fe, 28, 1, p, p, True, 1.04, 241.69
fe, 29, 0, a, p, False, 2.11, 244.43
fe, 29, 4, a, a, True, 2.43, 247.5
fe, 29, 2, p, p, True, 3.82, 251.95
fe, 29, 1, a, p, False, 1.42, 254.0
fe, 29, 3, a, p, False, 3.39, 258.03
